px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.93787	16.3392	5.01472	4.08857	0.455474	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	3.84932
1.93787	16.3392	5.01472	4.08857	0.455474	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0
1.56936	15.9948	5.02234	4.07399	0.375276	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.76306
1.56936	15.9948	5.02234	4.07399	0.375276	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	0
1.25225	15.5367	5.12413	4.11794	0.382614	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	1.05109
1.25225	15.5367	5.12413	4.11794	0.382614	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0
0.884425	15.0875	5.25212	4.12432	0.33847	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.16523
0.884425	15.0875	5.25212	4.12432	0.33847	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	0
0.650373	14.659	5.18243	4.1756	0.362572	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.642933
0.650373	14.659	5.18243	4.1756	0.362572	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	0
0.339907	14.2156	5.22841	4.18631	0.327703	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.545177
0.339907	14.2156	5.22841	4.18631	0.327703	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	0
0.235925	13.7143	5.15553	4.29919	0.436605	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.80305
0.235925	13.7143	5.15553	4.29919	0.436605	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0
-0.0534375	13.2662	5.19344	4.29283	0.36838	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.44059
-0.0534375	13.2662	5.19344	4.29283	0.36838	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0
-0.142179	12.8212	5.04902	4.3753	0.432119	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.20918
-0.142179	12.8212	5.04902	4.3753	0.432119	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	0
-0.370465	12.3569	5.0777	4.38044	0.380034	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.845148
-0.370465	12.3569	5.0777	4.38044	0.380034	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	0
-0.555526	11.9298	5.00446	4.39296	0.346332	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.857826
-0.555526	11.9298	5.00446	4.39296	0.346332	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	0
-0.890703	11.4535	5.12091	4.33388	0.218048	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	5.98784
-0.890703	11.4535	5.12091	4.33388	0.218048	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	0
